Этаж,Комнатность,Отделка,Вид из окон,Стоимость,Общая площадь (м.кв.),Высота потолка (м.),Срок сдачи
12,2к,Черновая,На улицу,7276495,"51,79","2,74",3 квартал 2027
12,1к,Черновая,На улицу,5614400,"35,2","2,74",3 квартал 2027
12,1к,Черновая,На улицу,4942500,"32,95","2,74",3 квартал 2027
12,1к,Черновая,На улицу,5255525,"32,95","2,74",3 квартал 2027
12,1к,Черновая,На улицу,5508800,"35,2","2,74",3 квартал 2027
12,2к,Черновая,На улицу,7095230,"51,79","2,74",3 квартал 2027
12,2к,Черновая,Во двор,6269760,"49,76","2,74",3 квартал 2027
12,2к,Черновая,Во двор,6438750,"50,5","2,74",3 квартал 2027
13,2к,Черновая,Во двор,6893250,"50,5","2,74",3 квартал 2027
13,2к,Черновая,Во двор,6070720,"49,76","2,74",3 квартал 2027
13,2к,Черновая,На улицу,7405970,"51,79","2,74",3 квартал 2027
13,1к,Черновая,На улицу,5755200,"35,2","2,74",3 квартал 2027
13,1к,Черновая,На улицу,4942500,"32,95","2,74",3 квартал 2027
13,1к,Черновая,На улицу,4942500,"32,95","2,74",3 квартал 2027
13,1к,Черновая,На улицу,5755200,"35,2","2,74",3 квартал 2027
13,2к,Черновая,На улицу,7405970,"51,79","2,74",3 квартал 2027
13,2к,Черновая,Во двор,6792240,"49,76","2,74",3 квартал 2027
13,2к,Черновая,Во двор,6590250,"50,5","2,74",3 квартал 2027
14,2к,Черновая,Во двор,7196250,"50,5","2,74",3 квартал 2027
14,2к,Черновая,Во двор,6394160,"49,76","2,74",3 квартал 2027
14,2к,Черновая,На улицу,6603225,"51,79","2,74",3 квартал 2027
14,1к,Черновая,На улицу,5491200,"35,2","2,74",3 квартал 2027
14,1к,Черновая,На улицу,5387325,"32,95","2,74",3 квартал 2027
14,1к,Черновая,На улицу,5387325,"32,95","2,74",3 квартал 2027
14,1к,Черновая,На улицу,5491200,"35,2","2,74",3 квартал 2027
14,2к,Черновая,На улицу,7380075,"51,79","2,74",3 квартал 2027
14,2к,Черновая,Во двор,6269760,"49,76","2,74",3 квартал 2027
14,2к,Черновая,Во двор,6893250,"50,5","2,74",3 квартал 2027
15,2к,Черновая,Во двор,6893250,"50,5","2,74",3 квартал 2027
15,2к,Черновая,Во двор,6220000,"49,76","2,74",3 квартал 2027
15,2к,Черновая,На улицу,7276495,"51,79","2,74",3 квартал 2027
15,1к,Черновая,На улицу,5614400,"35,2","2,74",3 квартал 2027
15,1к,Черновая,На улицу,4942500,"32,95","2,74",3 квартал 2027
15,1к,Черновая,На улицу,3130250,"32,95","2,74",3 квартал 2027
15,1к,Черновая,На улицу,3344000,"35,2","2,74",3 квартал 2027
15,2к,Черновая,На улицу,4557520,"51,79","2,74",3 квартал 2027
15,2к,Черновая,Во двор,6269760,"49,76","2,74",3 квартал 2027
15,2к,Черновая,Во двор,6893250,"50,5","2,74",3 квартал 2027
16,2к,Черновая,Во двор,6893250,"50,5","2,74",3 квартал 2027
16,2к,Черновая,Во двор,6394160,"49,76","2,74",3 квартал 2027
16,2к,Черновая,На улицу,7380075,"51,79","2,74",3 квартал 2027
16,1к,Черновая,На улицу,5614400,"35,2","2,74",3 квартал 2027
16,1к,Черновая,На улицу,5140200,"32,95","2,74",3 квартал 2027
16,1к,Черновая,На улицу,4942500,"32,95","2,74",3 квартал 2027
16,1к,Черновая,На улицу,5614400,"35,2","2,74",3 квартал 2027
16,2к,Черновая,На улицу,7095230,"51,79","2,74",3 квартал 2027
16,2к,Черновая,Во двор,7115680,"49,76","2,74",3 квартал 2027
16,2к,Черновая,Во двор,7221500,"50,5","2,74",3 квартал 2027
